experiment_name,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity_macro,top_2_accuracy,top_3_accuracy,mcc,cohen_kappa,auc_macro_ovr,inference_total_seconds,inference_ms_per_image,num_parameters
mobilenetv2_fine_tuning_aug,0.5961538461538461,0.5865349146462887,0.5171046386052794,0.5865349146462887,0.5339900243346591,0.6731300288614633,0.5961538461538461,0.6103049794683783,0.932214903689608,0.7770534550195567,0.8683181225554107,0.5068676810591211,0.4970210296372718,0.889592706189093,10.770448800176382,3.5105765320001248,2554119
mobilenetv2_fine_tuning_noaug,0.5941981747066493,0.5583650858533168,0.5038060883436871,0.5583650858533168,0.5209256330653265,0.6393525610904481,0.5941981747066493,0.6079714117031114,0.9303871180132964,0.7855280312907431,0.8911342894393742,0.4908030892165078,0.4868545832733826,0.866921433043861,10.831352999899536,3.5304279660689493,2554119
mobilenetv2_scratch_aug,0.6890482398956975,0.6722780044367028,0.5907597293118647,0.6722780044367028,0.6006777527269732,0.7544866957949942,0.6890482398956975,0.7054980097227055,0.9487276348618624,0.8484354628422425,0.9191655801825294,0.6124448137879988,0.606308115639909,0.9302423130541292,11.008195200003684,3.588068839636142,2554119
mobilenetv2_scratch_noaug,0.7213168187744459,0.6469471599964277,0.6234740707120742,0.6469471599964277,0.6309965909240226,0.7452273068357531,0.7213168187744459,0.729989201916133,0.9522568880599966,0.8865710560625815,0.9458930899608866,0.6423931654304367,0.640635182801167,0.9297445520533232,10.91634969972074,3.558132235893331,2554119
mobilenetv2_transfer_aug,0.3911342894393741,0.4223553019733459,0.3512637900643305,0.4223553019733459,0.3417691945628772,0.5290321231109664,0.3911342894393741,0.4148528718017805,0.8997435169999736,0.5948500651890483,0.734354628422425,0.2840737953319375,0.2724699649159599,0.7700848906700817,10.640044300351292,3.468071805851138,2554119
mobilenetv2_transfer_noaug,0.4253585397653194,0.4322454200112866,0.3678682884898875,0.4322454200112866,0.3608906925026317,0.532873519960391,0.4253585397653194,0.4553105819873631,0.904232579570232,0.6277705345501956,0.7646675358539765,0.307826086168214,0.2996054190907131,0.7891707169539534,10.425589899998158,3.3981714146017463,2554119
resnet50_fine_tuning_aug,0.6792698826597132,0.643225189152134,0.5945232281570626,0.643225189152134,0.6068040434647649,0.7329566537259022,0.6792698826597132,0.6879427044113163,0.9459240541891346,0.839960886571056,0.9194915254237288,0.6039988405431983,0.5950128924877465,0.9147736704242666,16.263158899731934,5.300899250238571,24034887
resnet50_fine_tuning_noaug,0.5873533246414603,0.5371213221658285,0.4904286591959802,0.5371213221658285,0.5048233576818101,0.6328150217103934,0.5873533246414603,0.6031640299750168,0.9291336261671804,0.7633637548891786,0.8595176010430248,0.479913845615882,0.4767141030841778,0.8489150622223169,16.247422999702394,5.295770208507951,24034887
resnet50_scratch_aug,0.4491525423728814,0.4543529280691438,0.3937450956697569,0.4543529280691438,0.3721530342942617,0.5948986702311608,0.4491525423728814,0.4809455185904923,0.9115539134962436,0.6271186440677966,0.7750977835723598,0.352959646857224,0.3373609458925458,0.8110730995944427,16.34766810014844,5.328444621951904,24034887
resnet50_scratch_noaug,0.636245110821382,0.5797036668285271,0.5218055632115122,0.5797036668285271,0.53677441219436,0.6729142450985156,0.636245110821382,0.646499628090508,0.9379218745627742,0.8210560625814863,0.9097131681877444,0.5391692306307432,0.5357702486517034,0.8961244019695787,16.37335819983855,5.336818187691835,24034887
resnet50_transfer_aug,0.4005867014341591,0.4332363596154999,0.3708999286179404,0.4332363596154999,0.3585935546523722,0.5517234921973768,0.4005867014341591,0.4160498952295143,0.901184574325228,0.6117992177314211,0.7486962190352021,0.2997230640281031,0.2855620796764417,0.7869376721122362,16.23840310005471,5.292830215141692,24034887
resnet50_transfer_noaug,0.4178617992177314,0.4345763930174395,0.3760853083314475,0.4345763930174395,0.3558152950858418,0.5514507259612155,0.4178617992177314,0.4541963920018414,0.9043282452650708,0.6183181225554107,0.7516297262059974,0.3091390156754151,0.2981458937910908,0.7888740116139713,16.2533809999004,5.297712190319556,24034887
vgg16_fine_tuning_aug,0.758148631029987,0.7273510902404586,0.6529592521060146,0.7273510902404586,0.6805044895323402,0.7940223109951007,0.758148631029987,0.7673373958147501,0.959892780250853,0.9015645371577576,0.9511082138200784,0.6969141079835205,0.6922252000574867,0.9516821300920816,25.95941670006141,8.461348337699286,21139783
vgg16_fine_tuning_noaug,0.7770534550195567,0.69799381999935,0.6900734814949951,0.69799381999935,0.6920464773743514,0.7850752351451366,0.7770534550195567,0.7793796653620726,0.9611614814612224,0.9149282920469362,0.9582790091264668,0.7105078995584945,0.7095589237700684,0.9433436182498914,25.534239200409505,8.322763755022654,21139783
vgg16_transfer_aug,0.5909387222946545,0.589735634703298,0.51323129578194,0.589735634703298,0.5249424310148872,0.6886205829116288,0.5909387222946545,0.6145731531355595,0.9328543699652262,0.7809647979139505,0.8771186440677966,0.5061125149397387,0.4954802296161547,0.8825744180517848,25.668632899876684,8.366568741811175,21139783
vgg16_transfer_noaug,0.6245110821382008,0.5949795876880815,0.5257938822931391,0.5949795876880815,0.5383805526288513,0.6872313918070557,0.6245110821382008,0.644970850757739,0.9368444002752054,0.788787483702738,0.8836375488917861,0.5312038637649076,0.5264398698114823,0.8913816415689206,26.268580300267782,8.56211874193865,21139783
